joined,left,difference
1902-01-30,1902-12-04,308
1902-04-16,1902-07-03,78
1902-02-14,1902-07-03,139
1902-12-08,1903-01-06,29
1903-01-31,1903-06-30,150
1903-01-12,1903-06-30,169
1903-04-01,1903-06-30,90
1903-01-12,1903-06-30,169
1902-12-08,1903-01-06,29
1903-01-12,1903-01-30,18
1903-01-12,1903-04-19,97
1903-07-04,1904-01-04,184
1903-07-04,1903-09-24,82
1903-07-04,1903-08-12,39
1903-08-21,1904-01-04,136
1903-09-05,1904-01-04,121
1903-08-13,1903-08-21,8
1904-01-21,1904-03-25,64
1904-07-01,1904-11-25,147
1904-01-21,1904-06-10,141
1904-07-01,1904-11-02,124
1904-07-01,1904-12-31,183
1904-07-01,1904-12-31,183
1904-11-05,1904-11-25,20
1906-01-04,1906-02-18,45
1904-11-27,1904-12-24,27
1906-01-04,1906-03-27,82
1904-11-27,1904-12-24,27
1906-06-30,1906-11-23,146
1907-07-02,1907-08-29,58
1907-01-01,1907-03-05,63
1907-03-05,1907-05-15,71
1907-09-06,1907-08-29,8
1908-01-13,1908-02-22,40
1908-01-13,1908-02-22,40
1907-09-01,1907-10-02,31
1908-08-03,1908-09-25,53
1908-08-03,1908-09-25,53
1908-06-30,1908-07-30,30
1908-06-30,1908-07-30,30
1908-06-30,1908-07-24,24
1909-01-02,1909-01-25,23
1909-07-02,1909-09-26,86
1910-01-29,1910-03-30,60
1910-07-04,1910-08-19,46
1910-01-29,1910-06-23,145
1910-07-04,1910-09-06,64
1867-07-18,1867-09-11,55
1867-07-18,1867-09-11,55
1867-07-18,1867-09-11,55
1867-07-19,1867-09-11,54
1867-07-18,1867-09-11,55
1867-07-18,1867-09-11,55
1867-07-19,1867-09-11,54
1867-10-15,1867-12-13,59
1867-10-15,1867-12-24,70
1911-01-06,1911-04-25,109
1911-07-26,1911-07-22,4
1911-01-06,1911-04-25,109
1911-01-06,1911-04-25,109
1867-10-15,1867-12-24,70
1867-10-15,1867-12-24,70
1867-10-15,1867-12-24,70
1911-07-06,1911-09-28,84
1911-02-22,1911-05-05,72
1911-07-06,1911-09-28,84
1911-07-28,1911-08-24,27
1912-01-06,1912-01-16,10
1912-01-06,1912-01-16,10
1911-09-28,1911-12-22,85
1911-09-28,1911-12-22,85
1912-07-09,1912-10-12,95
1912-07-09,1912-10-04,87
1912-01-06,1912-01-16,10
1912-01-06,1912-01-16,10
1868-01-25,1868-05-23,119
1868-01-25,1868-05-23,119
1868-01-25,1868-05-23,119
1868-01-25,1868-05-23,119
1868-08-14,1868-10-01,48
1868-06-06,1868-10-01,117
1868-11-17,1869-04-16,150
1868-06-06,1868-10-01,117
1868-06-06,1868-10-01,117
1868-06-06,1868-10-01,117
1868-06-06,1868-10-01,117
1868-11-17,1869-04-16,150
1868-11-17,1869-04-16,150
1869-04-30,1869-09-23,146
1868-11-17,1869-04-16,150
1869-04-30,1869-09-23,146
1868-11-17,1869-04-16,150
1869-04-30,1869-09-23,146
1869-04-30,1869-09-23,146
1869-04-30,1869-09-23,146
1869-04-30,1869-09-23,146
1869-10-18,1870-05-02,196
1869-10-15,1869-11-03,19
1869-10-18,1870-05-02,196
1869-10-18,1870-05-02,196
1869-10-18,1869-10-30,12
1869-11-11,1870-05-02,172
1870-06-18,1870-10-19,123
1870-06-18,1870-10-17,121
1869-11-01,1869-11-15,14
1870-06-18,1870-10-19,123
1869-11-03,1870-05-02,180
1870-06-18,1870-10-17,121
1870-06-18,1870-10-19,123
1871-10-02,1871-12-23,82
1872-10-26,1873-01-16,82
1872-10-23,1873-01-16,85
1872-10-24,1873-01-16,84
1872-11-09,1873-01-16,68
1873-01-24,1873-03-16,51
1873-01-24,1873-03-16,51
1872-10-23,1873-01-16,85
1873-01-16,1873-03-16,59
1873-04-08,1873-04-26,18
1873-04-08,1873-04-29,21
1873-04-08,1873-04-26,18
1873-04-08,1873-04-26,18
1873-04-08,1873-04-26,18
1873-04-27,1873-10-05,161
1873-04-27,1873-10-05,161
1874-03-09,1874-05-27,79
1874-03-25,1874-05-27,63
1874-03-02,1874-05-27,86
1873-04-27,1873-10-05,161
1873-04-27,1873-10-05,161
1873-04-27,1873-10-05,161
1874-03-23,1874-05-27,65
1873-11-05,1874-02-21,108
