joined,left,difference
1882-07-25,1882-11-14,112
1882-07-25,1882-10-31,98
1882-07-30,1882-09-20,52
1882-07-25,1882-10-31,98
1882-10-13,1882-1-04,282
1884-06-30,1884-06-30,0
1884-06-30,1884-06-30,0
1884-06-30,1884-06-30,0
1884-07-17,1884-07-25,8
1884-07-17,1884-07-25,8
1884-09-20,1885-01-12,114
1884-07-17,1884-07-27,10
1884-07-17,1884-07-27,10
1884-09-20,1885-01-12,114
1884-09-20,1885-01-12,114
1887-07-19,1888-01-03,168
1886-07-03,1887-01-03,184
1886-07-04,1886-07-22,18
1886-07-05,1886-07-22,17
1886-07-01,1887-01-03,186
1886-09-30,1887-01-03,95
1886-07-02,1887-01-03,185
1886-09-30,1887-01-03,95
1887-07-19,1887-09-03,46
1887-07-19,1887-09-03,46
1886-07-01,1887-07-13,377
1886-07-01,1887-03-10,252
1887-07-19,1887-09-03,46
1886-07-01,1887-07-13,377
1886-07-01,1887-07-13,377
1886-07-01,1887-03-10,252
1887-06-27,1887-07-13,16
1887-03-30,1887-07-13,105
1888-03-31,1888-07-13,104
1888-04-02,1888-07-13,102
1888-01-01,1888-07-13,194
1888-07-14,1888-10-20,98
1888-01-01,1888-07-13,194
1888-07-14,1888-10-20,98
1862-12-01,1863-03-24,113
1888-07-14,1888-10-20,98
1862-12-01,1863-03-24,113
1862-12-01,1863-03-24,113
1862-12-01,1863-03-24,113
1863-05-20,1863-09-08,111
1863-05-20,1863-09-08,111
1863-05-20,1863-09-08,111
1863-05-20,1863-09-08,111
1890-07-07,1890-09-20,75
1890-07-07,1890-09-20,75
1890-02-26,1890-05-20,83
1890-07-07,1890-09-20,75
1890-07-07,1890-09-20,75
1891-07-19,1891-10-06,79
1891-07-18,1891-09-15,59
1891-07-20,1891-10-06,78
1892-08-30,1892-11-19,81
1892-07-17,1892-11-19,125
1892-07-17,1892-11-19,125
1892-07-17,1892-11-19,125
1892-07-17,1892-11-19,125
1893-03-09,1893-04-13,35
1893-07-01,1893-08-24,54
1893-07-01,1893-08-11,41
1893-02-27,1893-05-31,93
1893-07-01,1893-08-24,54
1893-07-01,1893-08-24,54
1893-02-27,1893-06-05,98
1893-03-09,1893-06-05,88
1896-01-01,1896-01-17,16
1896-01-01,1896-01-17,16
1896-01-01,1896-01-17,16
1896-03-08,1896-05-16,69
1896-07-01,1896-10-19,110
1896-07-01,1896-10-19,110
1896-07-01,1896-10-19,110
1898-03-02,1898-04-27,56
1898-03-02,1898-07-12,132
1898-03-02,1898-07-12,132
1898-06-01,1898-07-12,41
1898-08-01,1898-08-28,27
1898-08-01,1898-09-12,42
1898-03-02,1898-07-12,132
1898-08-01,1898-09-12,42
1899-03-28,1899-06-14,78
1899-07-02,1899-10-13,103
1899-07-02,1899-10-13,103
1899-03-28,1899-06-16,80
1899-03-28,1899-06-16,80
1899-07-02,1899-07-22,20
1899-07-02,1899-07-22,20
1899-03-28,1899-06-16,80
1900-04-10,1900-07-20,101
1900-04-10,1900-06-06,57
1900-06-06,1900-07-20,44
1899-07-23,1899-10-13,82
1900-04-10,1900-07-20,101
1900-04-10,1900-06-06,57
1900-04-10,1900-06-06,57
1900-07-12,1900-08-14,33
1866-07-14,1866-10-23,101
1866-07-16,1866-10-23,99
1900-07-12,1900-08-24,43
1900-07-12,1900-08-24,43
1866-07-14,1866-10-23,101
1866-11-10,1866-11-20,10
1866-11-06,1866-11-20,14
1866-11-21,1866-12-21,30
1866-11-16,1866-12-21,35
1866-07-14,1866-10-23,101
1866-10-22,1866-11-05,14
1901-04-09,1901-07-01,83
1901-04-09,1901-07-01,83
1901-06-14,1901-07-01,17
1901-08-10,1901-11-01,83
1901-04-09,1901-07-01,83
1901-08-03,1901-10-21,79
1901-08-03,1901-10-21,79
1901-08-03,1901-10-21,79
1902-07-09,1902-09-26,79
1902-07-09,1902-08-26,48
1903-04-09,1903-05-16,37
1902-07-09,1902-08-26,48
1902-07-09,1902-08-26,48
1902-07-09,1902-08-26,48
1903-04-09,1903-06-30,82
1903-07-09,1903-12-14,158
1903-07-09,1903-12-14,158
1903-04-09,1903-06-08,60
1903-07-09,1903-12-14,158
1903-07-09,1903-12-14,158
1904-04-15,1904-04-20,5
1903-07-09,1903-12-14,158
1904-07-16,1904-08-08,23
1904-04-22,1904-05-16,24
1904-07-16,1904-08-08,23
1904-07-16,1904-08-08,23
1904-04-15,1904-04-04,11
1904-07-16,1904-08-24,39
1904-04-22,1904-05-21,29
1867-02-08,1868-03-10,396
1867-02-08,1867-03-10,30
1867-02-08,1868-03-10,396
1867-02-12,1867-04-10,57
1867-07-02,1867-12-03,154
1867-02-08,1868-03-12,398
1867-07-02,1867-12-03,154
1867-07-02,1867-09-21,81
1868-02-13,1868-06-26,134
1868-02-13,1868-06-26,134
1867-09-26,1867-12-03,68
1868-02-13,1868-06-26,134
1867-07-02,1867-12-03,154
1868-02-28,1868-06-26,119
1868-07-08,1868-10-15,99
1868-07-08,1868-10-15,99
1868-07-08,1868-10-15,99
1868-07-08,1868-10-15,99
1869-03-12,1869-03-24,12
1869-03-16,1869-03-24,8
1869-03-12,1869-03-24,12
1869-06-01,1869-08-06,66
1869-05-18,1869-03-24,55
1869-03-15,1869-03-24,9
1869-06-01,1869-08-14,74
1869-04-11,1869-03-24,18
1869-06-01,1869-08-06,66
1870-08-18,1870-10-22,65
1870-08-14,1870-09-05,22
1869-06-01,1869-08-14,74
1869-06-01,1869-08-14,74
1871-01-03,1871-05-05,122
1871-01-03,1871-05-05,122
1871-06-20,1871-08-07,48
1871-01-03,1871-05-05,122
1871-06-20,1871-08-07,48
1871-01-03,1871-05-05,122
1871-01-03,1871-05-05,122
1871-06-20,1871-08-07,48
1871-08-07,1871-09-25,49
1871-06-20,1871-08-07,48
1871-08-07,1871-09-25,49
1871-08-07,1871-09-25,49
1871-08-07,1871-09-25,49
1871-08-07,1871-09-25,49
1871-06-20,1871-08-07,48
1873-01-01,1873-05-21,140
1873-01-01,1873-05-21,140
1873-01-01,1873-05-21,140
1873-01-10,1873-05-21,131
1873-08-23,1874-01-28,158
1873-08-16,1874-01-28,165
1873-06-04,1873-08-21,78
1873-01-07,1873-05-21,134
1873-06-05,1873-08-21,77
1873-06-04,1873-08-21,78
1873-08-23,1873-11-17,86
1873-06-04,1873-08-21,78
1873-06-04,1873-08-21,78
1873-08-24,1873-01-26,210
1873-11-20,1874-01-28,69
1874-10-10,1874-12-31,82
1873-11-30,1874-01-28,59
1874-10-10,1874-12-31,82
1874-10-23,1874-12-31,69
1874-10-10,1874-12-31,82
1876-01-28,1876-02-07,10
1876-04-22,1876-05-15,23
1876-01-28,1876-03-28,60
1876-01-28,1876-03-28,60
1876-07-18,1877-01-09,175
1876-07-18,1876-09-23,67
1876-07-18,1876-09-23,67
1876-07-18,1876-09-10,54
1876-07-18,1876-09-23,67
1876-08-24,1876-09-10,17
1876-09-12,1876-10-05,23
1876-08-23,1876-09-12,20
1876-10-07,1876-11-11,35
1876-11-17,1876-12-13,26
1876-11-15,1876-12-13,28
1876-09-12,1876-10-05,23
1876-11-12,1876-12-13,31
1876-09-18,1876-11-11,54
1876-10-12,1876-11-11,30
1876-10-07,1876-11-11,35
1876-09-18,1876-12-12,85
1867-07-12,1867-10-15,95
1867-05-10,1867-06-30,51
1867-10-22,1867-12-23,62
1867-10-22,1867-12-23,62
1867-09-18,1867-11-12,55
1867-07-12,1867-08-20,39
1869-01-01,1869-01-30,29
1869-07-04,1869-12-31,180
1869-01-01,1869-01-30,29
1869-01-01,1869-01-30,29
1869-01-01,1869-01-30,29
1869-07-04,1869-12-31,180
1869-07-04,1869-12-30,179
1869-10-03,1869-12-27,85
1870-01-01,1870-06-30,180
1870-01-01,1870-06-30,180
1870-01-01,1870-06-30,180
1869-10-03,1869-12-31,89
1870-01-01,1870-06-30,180
1869-10-28,1869-12-31,64
1871-01-01,1871-06-30,180
1871-01-01,1871-06-30,180
1871-01-01,1871-06-30,180
1872-01-20,1872-05-04,105
1872-02-10,1872-05-04,84
1908-07-01,1908-09-02,63
1871-08-08,1871-12-07,121
1908-09-13,1908-12-31,109
1908-10-16,1908-10-17,1
1908-10-16,1908-10-17,1
1909-06-28,1909-06-30,2
1909-06-28,1909-06-30,2
1908-07-01,1908-09-02,63
1908-07-01,1908-09-02,63
1909-07-01,1909-10-16,107
1909-07-01,1909-10-16,107
1909-07-01,1909-10-16,107
1877-01-09,1877-03-19,69
1909-06-28,1909-06-30,2
1877-03-27,1877-03-28,1
1877-04-13,1877-07-08,86
1877-07-11,1877-11-08,120
1877-03-28,1877-04-03,6
1877-07-02,1877-08-29,58
1877-07-02,1878-01-01,183
1877-11-12,1877-12-23,41
1877-07-02,1878-01-01,183
1877-01-14,1878-01-01,352
1877-09-10,1877-11-14,65
1878-01-02,1878-07-15,194
1878-06-10,1878-07-16,36
1878-01-02,1878-06-05,154
1878-01-02,1878-04-26,114
1878-05-03,1878-07-15,73
1879-01-01,1879-06-30,180
1879-01-01,1879-06-30,180
1878-07-27,1878-09-01,36
1879-01-01,1879-06-30,180
1879-01-01,1879-06-30,180
1878-07-27,1878-11-19,115
1879-07-01,1880-01-01,184
1879-07-01,1879-08-10,40
1879-08-12,1879-10-30,79
1879-07-01,1879-08-10,40
1879-07-01,1879-08-10,40
1879-08-12,1879-10-30,79
1879-07-12,1879-12-27,168
1879-11-06,1879-12-24,48
1882-03-15,1882-06-30,107
1882-01-24,1882-06-30,157
1882-01-30,1882-03-09,38
1882-05-20,1882-06-30,41
1882-01-24,1882-06-30,157
1882-01-30,1882-05-20,110
1879-11-10,1879-12-22,42
1882-03-17,1882-05-20,64
1882-08-19,1882-09-02,14
1882-08-19,1882-10-17,59
1882-10-10,1882-12-14,65
1882-08-19,1882-10-24,66
1883-04-09,1883-06-09,61
1883-03-10,1883-06-03,85
1883-09-21,1883-10-15,24
1883-10-26,1883-12-03,38
1883-09-21,1883-10-15,24
1883-10-17,1883-10-25,8
1883-10-17,1883-10-25,8
1883-10-25,1883-12-11,47
1884-01-01,1884-06-18,169
1884-09-10,1884-08-09,32
1884-07-28,1884-09-10,44
1884-09-10,1884-11-29,80
1884-09-11,1884-10-20,39
1884-08-21,1884-09-09,19
1884-09-10,1884-10-16,36
1884-08-21,1884-09-09,19
1884-12-10,1884-12-10,0
1884-10-23,1884-11-29,37
1886-07-01,1887-01-01,184
1886-10-01,1887-01-01,92
1886-07-01,1886-09-28,89
1886-11-19,1887-01-01,43
1886-07-25,1886-11-13,111
1886-07-01,1886-12-18,170
1887-01-05,1887-10-25,293
1864-07-25,1864-11-02,100
1864-07-25,1864-11-02,100
1866-07-22,1866-11-05,106
1868-01-01,1868-07-11,192
1870-01-01,1870-06-30,180
1870-01-01,1870-06-30,180
1870-01-01,1870-06-30,180
1870-04-02,1870-06-30,89
1871-01-10,1871-07-10,181
1871-01-10,1871-07-10,181
1871-01-10,1871-01-10,0
1871-04-19,1871-07-06,78
1873-01-04,1873-06-30,177
1873-01-01,1873-06-30,180
1873-01-01,1873-06-30,180
1874-03-02,1874-04-15,44
1874-06-10,1874-09-19,101
1874-03-02,1874-03-03,1
1876-01-01,1876-06-14,165
1876-01-01,1876-06-09,160
1874-06-20,1874-09-19,91
1876-01-01,1876-06-30,181
1876-01-01,1876-06-30,181
1874-09-23,1874-12-25,93
1892-01-15,1892-06-27,164
1892-01-29,1892-07-29,182
1892-06-27,1892-07-29,32
1892-08-14,1892-12-31,139
1893-04-06,1893-06-16,71
1892-08-14,1892-12-31,139
1893-08-04,1894-01-13,162
1892-08-14,1892-12-31,139
1894-02-19,1894-06-30,131
1893-08-04,1894-01-13,162
1893-08-04,1894-01-13,162
1894-06-19,1894-06-30,11
1894-07-27,1894-09-12,47
1894-09-24,1894-11-10,47
1894-06-04,1894-06-30,26
1894-07-18,1894-09-18,62
1894-11-28,1895-01-03,36
1894-09-19,1894-11-10,52
1896-07-20,1896-12-10,143
1896-07-20,1896-12-10,143
1896-07-20,1896-12-10,143
1898-05-03,1898-05-22,19
1897-08-31,1897-12-22,113
1898-05-03,1898-05-22,19
1897-08-30,1897-12-22,114
1863-10-12,1863-11-19,38
1863-10-12,1863-12-31,80
1863-11-20,1863-12-31,41
1863-11-20,1863-12-31,41
1863-10-12,1863-11-19,38
1863-10-12,1863-11-19,38
1863-11-20,1863-12-31,41
1863-11-02,1863-12-31,59
1867-05-30,1867-08-02,64
1867-05-30,1867-08-02,64
1867-05-30,1867-08-02,64
1867-05-30,1867-08-02,64
1867-09-02,1867-11-16,75
1867-09-02,1867-11-16,75
1867-09-02,1867-11-16,75
1867-09-02,1867-11-16,75
1867-07-05,1867-08-02,28
1869-01-01,1869-03-25,83
1869-04-15,1869-06-26,72
1869-10-20,1869-12-28,69
1869-10-20,1869-12-28,69
1869-09-15,1869-12-28,104
1869-10-11,1869-12-28,78
1869-08-18,1869-09-14,27
1863-02-07,1863-06-01,114
1863-02-09,1863-06-10,121
1863-02-09,1863-06-10,121
1863-02-07,1863-06-10,123
1869-10-28,1869-12-28,61
1863-07-13,1863-10-28,107
1863-07-18,1863-10-28,102
1863-11-25,1864-02-16,83
1863-11-25,1864-02-16,83
1863-07-13,1863-10-28,107
1863-07-18,1863-10-28,102
1863-11-25,1864-02-16,83
1863-11-25,1864-02-16,83
1865-12-08,1866-01-25,48
1865-11-21,1865-12-07,16
1866-07-14,1866-12-21,160
1866-07-14,1866-10-22,100
1866-07-14,1866-12-21,160
1866-07-14,1866-12-21,160
1866-07-14,1866-12-21,160
1868-02-26,1868-06-27,122
1866-07-14,1866-12-21,160
1868-02-26,1868-06-27,122
1868-02-26,1868-06-27,122
1866-10-23,1866-12-21,59
1868-02-26,1868-06-27,122
1866-10-23,1866-12-15,53
1868-02-26,1868-06-27,122
1868-07-11,1868-09-22,73
1868-07-11,1868-09-22,73
1868-02-26,1868-06-27,122
1868-07-11,1868-09-22,73
1868-07-11,1868-09-22,73
1868-07-11,1868-09-22,73
1868-07-11,1868-09-22,73
1868-02-26,1868-06-27,122
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-10-13,1869-04-26,195
1868-07-11,1868-09-22,73
1869-06-11,1870-01-10,213
1869-06-11,1870-01-10,213
1869-06-11,1870-01-10,213
1869-06-11,1869-12-03,175
1869-12-13,1870-01-10,28
1869-06-11,1869-12-03,175
1869-06-11,1870-01-10,213
1869-06-11,1870-01-10,213
1870-01-27,1870-06-24,148
1870-01-27,1870-06-24,148
1870-01-27,1870-06-11,135
1870-01-27,1870-02-03,7
1870-01-27,1870-06-24,148
1870-01-27,1870-06-24,148
1870-02-03,1870-06-24,141
1870-07-02,1870-09-06,66
1870-07-02,1870-09-06,66
1870-07-02,1870-09-06,66
1870-07-02,1870-09-06,66
1870-09-24,1870-02-13,223
1870-07-02,1870-09-06,66
1870-09-24,1870-02-13,223
1870-09-24,1870-02-13,223
1870-09-24,1870-02-13,223
1870-06-16,1871-06-20,369
1870-09-26,1870-02-13,225
1870-09-24,1870-02-13,223
1871-12-12,1872-01-04,23
1871-12-12,1872-06-20,191
1871-12-12,1872-06-25,196
1871-12-12,1872-01-04,23
1872-12-07,1872-12-18,11
1872-01-08,1872-06-20,164
1872-01-08,1872-05-04,117
1872-01-08,1872-06-20,164
1872-12-07,1872-12-29,22
1873-01-17,1873-04-27,100
1873-01-03,1873-04-27,114
1872-12-12,1873-04-27,136
1873-01-03,1873-04-27,114
1873-01-03,1873-04-27,114
1880-06-05,1880-06-12,7
1880-06-08,1880-06-12,4
1880-06-08,1880-06-12,4
1880-07-12,1880-09-06,56
1880-06-08,1880-06-12,4
1880-06-05,1880-06-12,7
1880-07-12,1880-09-06,56
1880-06-08,1880-06-12,4
1880-06-08,1880-06-12,4
1880-07-12,1880-09-06,56
1880-07-12,1880-09-06,56
1880-07-12,1880-09-06,56
1880-07-12,1880-09-06,56
1881-08-24,1882-03-30,218
1880-07-12,1880-09-06,56
1881-08-24,1882-03-24,212
1882-07-07,1882-10-08,93
1881-08-24,1882-03-24,212
1881-08-24,1882-03-30,218
1882-07-07,1882-10-08,93
1882-07-07,1882-10-08,93
1881-08-24,1882-03-30,218
1882-07-07,1882-10-08,93
1881-08-26,1882-03-24,210
1882-07-07,1882-10-08,93
1882-07-07,1882-10-08,93
1882-03-30,1882-04-04,5
1882-07-07,1882-10-08,93
1882-03-30,1882-04-02,3
1882-03-30,1882-04-04,5
1882-03-30,1882-04-04,5
1882-05-31,1882-07-01,31
1882-05-31,1882-07-01,31
1882-03-30,1882-04-02,3
1882-05-31,1882-07-01,31
1882-05-30,1882-06-24,25
1882-06-01,1882-07-01,30
1882-05-31,1882-07-01,31
1882-05-31,1882-07-01,31
1882-10-23,1883-05-04,193
1882-10-23,1883-05-04,193
1882-10-23,1883-05-04,193
1882-10-23,1883-05-04,193
1882-10-23,1883-05-04,193
1882-10-23,1883-05-04,193
1882-10-21,1883-05-04,195
1883-05-19,1883-06-21,33
1883-05-19,1883-06-07,19
1883-05-15,1883-06-07,23
1883-06-16,1883-06-21,5
1883-05-15,1883-06-30,46
1883-06-16,1883-06-21,5
1883-05-19,1883-06-07,19
1883-06-16,1883-06-21,5
1883-05-18,1883-06-30,43
1883-05-19,1883-06-30,42
1883-08-21,1884-01-16,148
1883-08-21,1883-09-23,33
1883-08-21,1883-10-28,68
1883-08-21,1883-09-23,33
1883-08-27,1884-01-10,136
1883-08-21,1884-01-16,148
1883-08-21,1883-09-24,34
1883-08-27,1884-01-10,136
1884-02-21,1884-04-07,46
1884-02-21,1884-04-07,46
1883-08-25,1883-10-22,58
1883-11-09,1884-01-10,62
1884-01-11,1884-01-16,5
1884-01-11,1884-01-16,5
1884-01-11,1884-01-16,5
1883-10-31,1884-01-10,71
1884-02-21,1884-04-07,46
1886-02-03,1886-05-11,97
1884-02-21,1884-04-07,46
1884-02-21,1884-04-07,46
1886-02-03,1886-05-11,97
1886-02-03,1886-05-11,97
1884-02-21,1884-04-07,46
1884-02-21,1884-04-07,46
1886-02-03,1886-05-11,97
1886-02-03,1886-05-11,97
1886-02-03,1886-05-11,97
1886-08-12,1886-09-14,33
1886-08-12,1886-09-14,33
1886-10-14,1887-01-12,90
1886-08-12,1886-09-14,33
1886-08-12,1886-09-14,33
1886-08-12,1886-09-14,33
1886-10-20,1887-01-12,84
1886-08-12,1886-09-14,33
1886-10-20,1887-01-12,84
1886-10-20,1887-01-12,84
1886-10-20,1887-01-12,84
1886-10-20,1887-01-12,84
1887-01-13,1887-03-21,67
1886-10-14,1887-01-12,90
1887-07-22,1887-10-10,80
1887-01-13,1887-03-21,67
1887-01-13,1887-03-21,67
1887-01-13,1887-03-21,67
1887-01-13,1887-03-21,67
1887-01-13,1887-03-21,67
1887-07-22,1887-10-10,80
1887-07-22,1887-10-10,80
1887-07-22,1887-10-10,80
1887-03-22,1887-07-06,106
1887-07-22,1887-10-26,96
1887-07-22,1887-10-10,80
1887-03-22,1887-07-18,118
1887-03-22,1887-07-06,106
1887-03-22,1887-07-06,106
1887-03-22,1887-07-06,106
1887-03-22,1887-07-06,106
1888-09-28,1889-01-07,101
1888-09-19,1889-01-19,122
1888-09-20,1889-01-07,109
1888-09-28,1889-01-19,113
1888-09-19,1889-01-07,110
1888-09-19,1889-01-07,110
1889-08-16,1889-10-05,50
1889-08-16,1889-10-05,50
1889-08-16,1889-10-05,50
1889-08-16,1889-10-05,50
1889-08-16,1889-10-05,50
1889-08-16,1889-10-05,50
1889-01-19,1889-05-07,108
1889-01-19,1889-05-07,108
1889-01-19,1889-05-07,108
1889-01-19,1889-01-24,5
1889-01-19,1889-01-24,5
1890-10-16,1891-01-05,81
1890-10-16,1891-01-05,81
1890-02-18,1890-04-28,69
1890-10-16,1891-01-05,81
1890-10-16,1891-01-05,81
1890-10-16,1891-01-05,81
1890-10-17,1891-01-05,80
1890-05-30,1890-08-08,70
1890-05-30,1890-09-24,117
1890-05-30,1890-09-24,117
1890-05-30,1890-09-24,117
1890-05-30,1890-09-24,117
1890-05-30,1890-09-24,117
1891-02-11,1891-06-29,138
1891-02-11,1891-06-29,138
1891-02-11,1891-07-01,140
1891-02-11,1891-07-01,140
1891-02-11,1891-06-17,126
1891-02-11,1891-06-29,138
1891-07-22,1891-10-23,93
1891-07-22,1891-10-23,93
1891-07-22,1891-10-23,93
1891-07-22,1891-10-23,93
1891-11-02,1891-12-09,37
1891-07-22,1891-10-23,93
1891-11-02,1891-12-09,37
1891-11-02,1891-12-09,37
1891-07-22,1891-10-23,93
1891-11-02,1891-12-09,37
1891-11-02,1891-12-09,37
1891-11-02,1891-12-09,37
1863-11-13,1864-02-16,95
1863-11-12,1864-04-20,160
1863-11-12,1864-04-20,160
1863-11-12,1864-04-20,160
1863-11-12,1864-04-20,160
1864-05-07,1864-09-21,137
1864-05-07,1864-09-21,137
1864-05-07,1864-09-21,137
1864-05-09,1864-09-21,135
1864-05-09,1864-09-21,135
1864-02-15,1864-04-20,65
1864-02-15,1864-04-20,65
1864-05-09,1864-09-21,135
1864-05-10,1864-09-21,134
1865-10-10,1866-01-16,98
1865-10-07,1866-01-16,101
1865-10-07,1866-01-16,101
1865-10-10,1866-01-16,98
1865-10-07,1866-01-16,101
1865-10-07,1866-01-16,101
1886-02-20,1886-06-07,107
1886-02-20,1886-06-07,107
1886-02-20,1886-06-07,107
1886-02-20,1886-06-07,107
1865-10-07,1866-01-16,101
1886-02-20,1886-06-07,107
1886-02-20,1886-06-07,107
1886-02-20,1886-04-30,69
1886-04-30,1886-06-07,38
1867-08-09,1867-10-26,78
1867-08-09,1867-11-11,94
1867-08-09,1867-12-26,139
1867-08-09,1867-12-26,139
1867-08-09,1867-12-26,139
1867-08-09,1867-12-26,139
1868-09-22,1869-06-05,256
1868-09-22,1869-06-05,256
1868-09-22,1868-12-18,87
1868-09-22,1869-01-27,127
1868-09-22,1869-06-05,256
1868-09-22,1869-06-05,256
1867-11-04,1867-12-26,52
1867-11-04,1867-12-26,52
1867-08-09,1867-12-26,139
1868-09-22,1869-06-05,256
1869-07-21,1870-03-24,246
1869-07-21,1870-03-18,240
1869-02-03,1869-06-05,122
1868-09-22,1869-06-05,256
1869-03-23,1869-06-05,74
1870-07-26,1871-02-09,198
1869-07-21,1870-07-23,367
1870-09-08,1871-02-09,154
1869-07-21,1870-07-23,367
1869-07-21,1870-07-23,367
1869-07-21,1870-07-23,367
1870-07-28,1870-09-23,57
1869-07-21,1870-07-23,367
1870-03-18,1871-02-09,328
1870-07-29,1871-02-09,195
1870-03-26,1871-02-09,320
1870-09-22,1871-02-09,140
1871-10-16,1871-10-26,10
1870-09-22,1871-01-15,115
1871-01-29,1871-02-09,11
1871-10-16,1871-10-26,10
1871-10-16,1872-02-21,128
1871-10-16,1871-10-26,10
1871-10-27,1872-02-21,117
1871-10-18,1872-02-21,126
1871-10-18,1871-10-25,7
1871-10-27,1872-02-21,117
1871-10-18,1871-10-25,7
1871-10-27,1872-02-22,118
1871-10-27,1872-02-21,117
1872-04-17,1872-09-04,140
1872-04-17,1872-09-04,140
1872-04-17,1872-09-04,140
1871-10-27,1872-02-21,117
1872-04-17,1872-09-16,152
1872-04-17,1872-09-04,140
1873-03-07,1873-05-28,82
1873-03-06,1873-05-28,83
1873-03-07,1873-06-14,99
1872-04-19,1872-09-04,138
1873-03-06,1873-05-28,83
1873-03-08,1873-05-28,81
1873-03-07,1873-06-14,99
1872-04-19,1872-09-04,138
1873-06-16,1873-08-22,67
1873-06-16,1873-08-26,71
1873-06-16,1873-09-06,82
1873-06-16,1873-08-26,71
1873-08-26,1874-08-12,351
1873-06-16,1873-09-15,91
1873-08-26,1873-12-28,124
1873-08-26,1873-12-28,124
1873-09-11,1873-09-15,4
1873-09-10,1873-12-18,99
1873-09-13,1874-08-12,333
1873-09-09,1874-08-12,337
1874-02-05,1874-03-31,54
1874-02-05,1874-03-20,43
1874-02-05,1874-08-12,188
1875-07-05,1876-01-04,183
1875-07-03,1876-01-04,185
1875-07-03,1876-01-04,185
1875-07-03,1876-01-04,185
1875-07-01,1876-01-04,187
1875-07-01,1876-05-30,334
1876-03-07,1876-05-30,84
1876-03-07,1876-05-30,84
1876-03-07,1876-05-30,84
1876-03-08,1876-05-30,83
1876-04-01,1876-05-23,52
1876-05-31,1876-08-23,84
1876-05-31,1876-08-23,84
1876-05-31,1876-08-23,84
1876-05-31,1876-08-23,84
1876-05-31,1876-08-23,84
1876-05-31,1876-08-23,84
1876-09-02,1876-10-05,33
1876-09-02,1876-10-10,38
1876-09-02,1876-09-15,13
1876-09-02,1876-10-05,33
1876-09-02,1876-10-05,33
1876-09-02,1876-10-05,33
1876-11-08,1877-02-17,101
1876-11-06,1877-02-17,103
1876-11-06,1877-02-17,103
1876-11-13,1877-02-2,81
1876-11-06,1877-02-17,103
1876-11-07,1876-01-09,303
1878-05-30,1879-04-09,314
1879-06-16,1880-05-18,337
1879-06-16,1880-05-18,337
1878-05-30,1879-04-09,314
1879-06-16,1880-05-18,337
1878-05-30,1879-04-09,314
1878-05-30,1879-04-09,314
1878-05-31,1879-04-07,311
1878-05-30,1879-04-09,314
1910-04-13,1910-05-18,35
1879-06-16,1880-05-18,337
1879-06-17,1880-05-18,336
1879-06-16,1880-05-18,337
1910-08-02,1910-09-24,53
1910-06-01,1910-07-23,52
1910-08-02,1910-10-06,65
1910-06-01,1910-11-23,175
1910-06-01,1910-07-23,52
1900-02-24,1900-05-19,84
1900-07-01,1901-01-21,204
1900-07-01,1901-01-21,204
1900-07-01,1901-01-21,204
1900-02-24,1900-07-06,132
1900-07-01,1901-01-21,204
1900-05-23,1900-06-25,33
1900-02-24,1900-05-19,84
1901-03-18,1901-05-28,71
1901-06-14,1901-07-12,28
1901-03-19,1901-05-28,70
1901-06-13,1901-07-12,29
1901-02-14,1901-06-10,116
1901-02-14,1901-02-20,6
1901-06-14,1901-07-06,22
1903-01-15,1903-02-16,32
1903-01-16,1903-02-16,31
1901-11-15,1901-11-24,9
1903-01-10,1903-02-16,37
1903-01-12,1903-02-16,35
1903-03-07,1903-04-15,39
1903-05-04,1903-06-10,37
1903-03-01,1903-04-15,45
1903-03-05,1903-04-15,41
1903-05-04,1903-06-10,37
1903-05-04,1903-06-10,37
1903-03-01,1903-04-15,45
1903-05-04,1903-06-10,37
1903-10-19,1903-12-28,70
1903-07-08,1903-09-12,66
1903-07-07,1903-09-12,67
1903-10-16,1903-12-28,73
1903-10-05,1903-12-28,84
1906-01-01,1906-03-20,78
1904-02-27,1904-06-20,114
1904-10-19,1904-11-28,40
1906-01-01,1906-03-21,79
1906-05-05,1906-06-02,28
1906-03-28,1906-04-20,23
1906-09-06,1906-06-11,87
1906-04-24,1906-06-02,39
1906-01-01,1906-03-20,78
1906-03-27,1906-06-21,86
1906-07-27,1906-09-25,60
1907-03-25,1907-04-16,22
1907-01-12,1907-03-07,54
1907-01-12,1907-03-07,54
1907-01-12,1907-03-07,54
1907-01-12,1907-03-07,54
1907-10-24,1907-12-25,62
1907-05-16,1907-06-01,16
1907-04-23,1907-05-11,18
1907-07-10,1907-09-25,77
1907-11-04,1907-12-25,51
1907-04-19,1907-06-15,57
1907-10-21,1907-12-25,65
1907-03-25,1907-04-16,22
1907-07-10,1907-09-24,76
1907-08-19,1907-09-25,37
1908-07-01,1908-08-20,50
1908-04-02,1908-05-29,57
1908-07-01,1908-08-20,50
1908-04-02,1908-05-29,57
1908-09-14,1908-11-10,57
1908-04-02,1908-05-29,57
1909-01-01,1909-03-20,78
1908-09-14,1908-12-10,87
1909-05-03,1909-06-30,58
1909-01-01,1909-06-30,180
1909-01-01,1909-06-30,180
1909-09-10,1909-11-11,62
